user_input,is_answerable,reference_contexts,query_style,source_file,filepath,retrieved_contexts,retrieved_file
"Si yo tengo 28 años, gano 800 mil al mes y soy independiente, ¿puedo usar el portal para buscar una casa?",no,"['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Caso Hipotetico en Primera Persona,BD1-00582,Banco\CasaVerso\BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md,"['# DS19 Para comprar una vivienda si aún no tengo Subsidio Puedes acceder a este programa con los siguientes requisitos: AHORRO + PERTENECER HASTA EL 90% EN RSH (Registro Social de Hogares) + No tener una propiedad (postulante, cónyuge, conviviente civil o integrantes del grupo familiar declarado). Me permite adquirir una vivienda de: HASTA 2.200 UF ¿Cómo se paga mi vivienda? AHORRO + SUBSIDIO + BONOS + APORTE (CONTADO O HIPOTECARIO) ¿Me pueden cobrar por gastos operacionales y de escrituración? Si el proyecto es de mi interés ¿qué pasos debo seguir? POR SUBSIDIO DS19 Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto. Si ya estoy inscrito en el proyecto debo solicitar a la entidad: Comprobante de inscripción al proyecto En las regiones de Arica y Parinacota, Tarapacá, Antofagasta, Atacama, Aysén, Magallanes y Antártica Chilena, Provincia de Chiloé y las comunas de Palena, Isla de Pascua y Juan Fernández el valor máximo puede llegar hasta las 2.400 UF', '# Paso a paso para postular DS1 Tramo 2 Paso a paso para postular: Abra una cuenta de ahorro para la vivienda y deposite en ella su ahorro. La cuenta debe tener como mínimo 12 meses de antigüedad al momento de postular (la antigüedad se considera desde primer día hábil del mes siguiente en que abrió la cuenta). Infórmese y solicite orientación sobre los programas del ministerio y consulte por las fechas de postulación. Conozca el porcentaje de calificación socioeconómica de su Registro Social de Hogares (RSH). Para ello puede visitar la página web registro social, llamar al fono o dirigirse a su municipalidad. El trámite de postulación se puede hacer a través de Internet, para lo cual es necesario contar con la Clave Única que otorga el Servicio de Registro Civil e Identificación. Una segunda alternativa es postular personalmente en las Oficinas de Atención Presencial del Serviu o en las instituciones públicas que este organismo habilite para estos efectos. Si desea realizar su postulación de manera presencial, reserve un día y lugar en la página web Minvu o llamando a Minvu Aló.', '# Paso a paso para postular DS1 Tramo 1 Paso a paso para postular: Abra una cuenta de ahorro para la vivienda y deposite en ella su ahorro. La cuenta debe tener como mínimo 12 meses de antigüedad al momento de postular (la antigüedad se considera desde primer día hábil del mes siguiente en que abrió la cuenta). Infórmese y solicite orientación sobre los programas del ministerio y consulte por las fechas de postulación. Conozca el porcentaje de calificación socioeconómica de su Registro Social de Hogares (RSH). Para ello puede visitar la página web registro social, llamar al fono o dirigirse a su municipalidad. El trámite de postulación se puede hacer a través de Internet, para lo cual es necesario contar con la Clave Única que otorga el Servicio de Registro Civil e Identificación. Una segunda alternativa es postular personalmente en las Oficinas de Atención Presencial del Serviu o en las instituciones públicas que este organismo habilite para estos efectos. Si desea realizar su postulación de manera presencial, reserve un día y lugar en la página web minvu o llamando a Minvu Aló.']","['s3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00558 - DS19 Para comprar una vivienda si aún no tengo Subsidio.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00572 - Paso a paso para postular DS1 Tramo 2.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00571 - Paso a paso para postular DS1 Tramo 1.md']"
"No entiendo bien qué es la protección de datos personales en la web, ¿me puedes explicar?",no,"['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']",Principiante / Educativo,BD1-00584,Banco\CasaVerso\BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md,"['# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).', '# DECLARACIÓN PERSONAL DE SALUD Manifestación del asegurado en la propuesta o solicitud de seguro de su condición y estado de salud y enfermedades preexistentes, que resulta fundamental para que el asegurador decida sobre la aceptación y tarificación del riesgo. La omisión, falsa declaración o reticencias dan opción al asegurador para liberarse de sus obligaciones y rechazar el pago del siniestro.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Educacion Financiera/Diccionario/BD1-00289 - DECLARACIÓN PERSONAL DE SALUD.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md']"
¿Dónde checo las normas de uso de mis datos en el portal?,no,"['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']",Orientado a la Accion,BD1-00584,Banco\CasaVerso\BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md,"['# REGISTRO DE PÓLIZAS Registro de uso público mantenido por la Superintendencia de Valores y Seguros, que contiene los textos de los modelos de póliza registrados, sus modificaciones y cláusulas adicionales que se contratan en el mercado, no pudiendo las entidades aseguradoras contratar con moldes que no hubieren sido previamente registrados en él, salvo las excepciones legales.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# En dónde obtengo el certificado de no expropiación de Serviu En la página web destinada para obtener el Certificado de no expropiación por parte de SERVIU']","['s3://sand-sch-rag-eval-data/data/Educacion Financiera/Diccionario/BD1-00440 - REGISTRO DE PÓLIZAS.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md', 's3://sand-sch-rag-eval-data/data/Fabrica Curse/Preguntas Frecuentes/BD1-00157 - En dónde obtengo el certificado de no expropiación de Serviu.md']"
¿Cómo me entero cuando publiquen casas en arriendo?,no,"['# Hay propiedades para arriendo\n\nEn este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.\n']",Orientado a la Accion,BD1-00585,Banco\CasaVerso\BD1-00585 - Hay propiedades para arriendo.md,"['# Hay propiedades para arriendo En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.', '# Paso a paso para postular Leasing Habitacional Se postula en forma individual. Se accede en arrendamiento con promesa de compraventa viviendas nuevas o usadas. Una vez enterado el precio prometido de venta, la vivienda se traspasa al arrendatario promitente comprador. En el plazo del contrato, el interesado arrienda la vivienda y ahorra para su compra. La vivienda se paga con el subsidio y con la parte del aporte mensual que se destina a enterar el precio del inmueble, más aportes contados que el interesado pudiera efectuar. El aporte mensual considera lo que destina al arriendo (renta de arrendamiento) y lo destinado a enterar el pago del precio de la vivienda prometida comprar (ir pagando la vivienda), así como otros cargos convenidos en el contrato (por ejemplo, seguros). El programa otorga subsidios de diferente valor, dependiendo del precio de la vivienda, de la región donde ésta se encuentra y de su ubicación en zonas de renovación urbana o desarrollo prioritario, zonas de conservación histórica o si se aplica sobre un inmueble de conservación histórica.', '# Documentos requeridos Leasing Habitacional Para la Inscripción se solicita: Fotocopia y Original Cédula de Identidad (postulante y cónyuge). Cuenta de Ahorro para Arrendamiento de Viviendas con Promesa de Compraventa (postulante o cónyuge).']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00585 - Hay propiedades para arriendo.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00573 - Paso a paso para postular Leasing Habitacional.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00556 - Documentos requeridos Leasing Habitacional.md']"
"Si gano 900000 al mes y quiero comprar una casa en Santiago, ¿el portal me da respuesta de crédito al instante?",no,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']",Caso Hipotetico en Primera Persona,BD1-00588,Banco\CasaVerso\BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md,"['# ¿Cuánto dinero puedo pedir prestado para adquirir una vivienda? Podrás acceder hasta el 90% del menor valor entre la tasación y el precio de venta de la propiedad, considerando que el dividendo no debe superar el 25% de tu renta líquida o Ingreso familiar en caso de complementar renta. Estas condiciones estarán sujetas a la evaluación comercial y las políticas de riesgo vigentes de BancoEstado.', '# DS19 Para comprar una vivienda si aún no tengo Subsidio Puedes acceder a este programa con los siguientes requisitos: AHORRO + PERTENECER HASTA EL 90% EN RSH (Registro Social de Hogares) + No tener una propiedad (postulante, cónyuge, conviviente civil o integrantes del grupo familiar declarado). Me permite adquirir una vivienda de: HASTA 2.200 UF ¿Cómo se paga mi vivienda? AHORRO + SUBSIDIO + BONOS + APORTE (CONTADO O HIPOTECARIO) ¿Me pueden cobrar por gastos operacionales y de escrituración? Si el proyecto es de mi interés ¿qué pasos debo seguir? POR SUBSIDIO DS19 Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto. Si ya estoy inscrito en el proyecto debo solicitar a la entidad: Comprobante de inscripción al proyecto En las regiones de Arica y Parinacota, Tarapacá, Antofagasta, Atacama, Aysén, Magallanes y Antártica Chilena, Provincia de Chiloé y las comunas de Palena, Isla de Pascua y Juan Fernández el valor máximo puede llegar hasta las 2.400 UF', '# Cómo se financia la compra de una vivienda DS1 Tramo 3 ¿Cómo se financia la compra de una vivienda? AHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CRÉDITO HIPOTECARIO El valor máximo de la vivienda y del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.']","['s3://sand-sch-rag-eval-data/data/Sitio Publico/Preguntas Frecuentes/Crédito Hipotecario/BD1-00110 - Cuánto dinero puedo pedir prestado para adquirir una vivienda_v1.0.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00558 - DS19 Para comprar una vivienda si aún no tengo Subsidio.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00555 - Cómo se financia la compra de una vivienda DS1 Tramo 3.md']"
"oye, ¿cómo sé al tiro si califico pa crédito y me muestran casas que me convengan?",no,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']",Coloquial Chileno Natural,BD1-00588,Banco\CasaVerso\BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md,"['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario SI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.', '# ¿Cómo se verifica que el cliente sea elegible para solicitar este financiamiento? Al momento de solicitar tu financiamiento, el Ejecutivo del Banco validará que cumplas con los requisitos necesarios para acceder al programa Vivienda Nueva con garantía FOGAES.', '# Acreditación de ingresos Refinanciamiento Hipotecario Si eres trabajador Dependiente: Certificado que indique antigüedad, renta mensual y tipo de contrato que posees (debe ser contrato indefinido). El documento debe estar firmado y timbrado por el empleador. Si tienes renta fija, 3 últimas Liquidaciones de Sueldo. Si tienes renta variable, 6 últimas Liquidaciones de Sueldo. Certificado de cotizaciones previsionales de los últimos 12 meses emitido por la AFP o fotocopias de las planillas del INP, cuando corresponda. Si eres trabajador Independiente: Formulario de Iniciación de Actividades. Boletas de Honorarios correspondientes a los últimos 6 meses. Últimas 2 Declaraciones de Impuestos Anual a la Renta o Global Complementario. Si eres Jubilado o Pensionado: Última Liquidación de Jubilación o Pensión. Si eres Rentista: Contrato de arriendo de bienes raíces suscrito a tu nombre, debidamente notariado con antigüedad mínima de 1 año o con un anexo de contrato notariado, que acredite la vigencia del arriendo (en caso de estar suscrito por un tercero, debe indicar que se arrienda en representación de su dueño). Certificado de Dominio Vigente de las propiedades sujetas a contrato de arriendo o usufructo debidamente acreditado (si la propiedad arrendada se encuentra en garantía a favor de BancoEstado, se podrá validar internamente, sin exigir este certificado). Comprobante de transferencia electrónica o cartola de cuenta bancaria, con el monto del arriendo últimos 6 meses (El pago del arriendo debe ser mensual). Si eres Socio de una Empresa o persona natural con o sin giro comercial: Declaración de Impuestos Anual a la Renta Personal de los 2 últimos años. Balances Tributarios y Declaración de Impuesto a la Renta de las sociedades en que ha participado durante los 2 últimos años. Declaración Mensual de IVA o PPM de las empresas en que participa, de los últimos 12 meses.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00591 - Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario.md', 's3://sand-sch-rag-eval-data/data/Sitio Publico/Fogaes/BD1-00137 - Cómo se verifica que el cliente sea elegible para solicitar este financiamiento_v1.0.md', 's3://sand-sch-rag-eval-data/data/Sitio Publico/Refinanciamiento/BD1-00518 - Acreditación de ingresos Refinanciamiento Hipotecario.md']"
¿Cómo me registro en el portal y qué pasos sigo para que Vivi me ayude a evaluar el crédito?,no,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']",Orientado a la Accion,BD1-00588,Banco\CasaVerso\BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md,"['# ¿Qué antecedentes necesito presentar al Banco para realizar la evaluación de mi Crédito Hipotecario? Debes cumplir con los requisitos solicitados y presentar los antecedentes legales requeridos:', '# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.', '# Cómo funciona la inteligencia artificial en CASAVERSO Hemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor. Por ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades! También puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.']","['s3://sand-sch-rag-eval-data/data/Sitio Publico/Preguntas Frecuentes/Crédito Hipotecario/BD1-00109 - Qué antecedentes necesito presentar al Banco para realizar la evaluación de mi Crédito Hipotecario_v1.0.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md']"
plataforma vivienda casaverso,no,"['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']",Buscador de Palabras Clave,BD1-00589,Banco\CasaVerso\BD1-00589 - Qué es CASAVERSO.md,"['# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md']"
"Si yo gano 800 mil al mes con contrato indefinido, ¿puedo hacer todo el proceso de buscar y financiar una casa en un solo sitio web?",no,"['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']",Caso Hipotetico en Primera Persona,BD1-00589,Banco\CasaVerso\BD1-00589 - Qué es CASAVERSO.md,"['# Cómo se financia la compra de una vivienda DS1 Tramo 2 ¿Cómo se financia la compra de una vivienda? AHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CREDITO HIPOTECARIO El valor máximo de la vivienda y del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.', '# Cómo se financia la compra de una vivienda DS1 Tramo 3 ¿Cómo se financia la compra de una vivienda? AHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CRÉDITO HIPOTECARIO El valor máximo de la vivienda y del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.', '# Cómo se financia la compra de una vivienda DS1 Tramo 1 ¿Cómo se financia la compra de una vivienda? AHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CRÉDITO HIPOTECARIO El valor máximo del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.']","['s3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00554 - Cómo se financia la compra de una vivienda  DS1 Tramo 2.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00555 - Cómo se financia la compra de una vivienda DS1 Tramo 3.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00553 - Cómo se financia la compra de una vivienda  DS1 Tramo 1.md']"
ver oferta hipoteca BancoEstado,no,['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado\n\nUna vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.\n'],Buscador de Palabras Clave,BD1-00590,Banco\CasaVerso\BD1-00590 - Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado.md,"['# ¿Qué tipo de financiamiento existe para la compra de una vivienda? Para comprar una vivienda nueva o usada, BancoEstado cuenta con los siguientes tipos de financiamiento: - Crédito Hipotecario con y sin subsidio habitacional. - Financiamiento para EcoVivienda con y sin subsidio habitacional. - Crédito Hipotecario Universal.', '# Quién emite la solicitud de crédito hipotecario y cuál es su descripción La fuente del documento SOLICITUD DE CREDITO HIPOTECARIO es BancoEstado y es el Formulario proporcionado por el banco para la solicitud del crédito.', '# ¿Puedo usar una tasación de otro banco? BancoEstado al igual que otros bancos requiere realizar su propia tasación, ya que cada entidad tiene criterios específicos de valoración. Por lo anterior no será valida una tasación de otra entidad para llevar a cabo el proceso de venta de un crédito hipotecario.']","['s3://sand-sch-rag-eval-data/data/Sitio Publico/Preguntas Frecuentes/Crédito Hipotecario/BD1-00118 - Qué tipo de financiamiento existe para la compra de una vivienda_v1.0.md', 's3://sand-sch-rag-eval-data/data/Fabrica Curse/Preguntas Frecuentes/BD1-00166 - Quién emite la solicitud de crédito hipotecario y cuál es su descripción.md', 's3://sand-sch-rag-eval-data/data/Sitio Publico/Preguntas Frecuentes/Crédito Hipotecario/BD1-00610 - Puedo usar una tasación de otro banco.md']"
