user_input,is_answerable,reference_contexts,query_style,source_file,filepath,retrieved_contexts,retrieved_file
"No entiendo cómo es que me muestra casas según lo que escribo, ¿me puedes explicar?",yes,"['# Cómo funciona la inteligencia artificial en CASAVERSO\n\nHemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor.\n\nPor ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades!\n\nTambién puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.\n']",Principiante / Educativo,BD1-00580,Banco\CasaVerso\BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md,"['# Cómo funciona la inteligencia artificial en CASAVERSO Hemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor. Por ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades! También puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.', '# Hay propiedades usadas En este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.', '# Hay propiedades para arriendo En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00586 - Hay propiedades usadas.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00585 - Hay propiedades para arriendo.md']"
crear cuenta casaverso,yes,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Buscador de Palabras Clave,BD1-00581,Banco\CasaVerso\BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
"Si yo soy cliente BancoEstado, tengo mi RUT y la clave de Banca en Línea, ¿puedo entrar a CASAVERSO sin tener que registrar una cuenta?",yes,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Caso Hipotetico en Primera Persona,BD1-00581,Banco\CasaVerso\BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md,"['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.', '# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00593 - Si soy cliente del BancoEstado puedo ingresar con mis credenciales del banco.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
"oye, ¿cómo me creo la cuenta en casaverso? soy cliente de BancoEstado, ¿tengo que registrar algo?",yes,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Coloquial Chileno Natural,BD1-00581,Banco\CasaVerso\BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00593 - Si soy cliente del BancoEstado puedo ingresar con mis credenciales del banco.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
"No entiendo bien qué es crear una cuenta en la plataforma, ¿me puedes explicar?",yes,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Principiante / Educativo,BD1-00581,Banco\CasaVerso\BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto? Si, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.', '# ABONAR EN CUENTA Es el pago de una parte de lo que le corresponde pagar mensualmente por una deuda contraída. Este puede efectuarse antes o después de la fecha de vencimiento establecida para el pago mensual de la deuda. En caso de ser después, deberá asumir los costos asociados al atraso.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00587 - Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web esto es correcto.md', 's3://sand-sch-rag-eval-data/data/Educacion Financiera/Diccionario/BD1-00170 - ABONAR EN CUENTA.md']"
¿Qué tengo que hacer para crear mi cuenta en CASAVERSO?,yes,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Orientado a la Accion,BD1-00581,Banco\CasaVerso\BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
cmo me registro en casaverso no se como entra,yes,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Mal Escrito,BD1-00581,Banco\CasaVerso\BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
portal casaverso bancoestado,yes,"['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Buscador de Palabras Clave,BD1-00582,Banco\CasaVerso\BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md,"['# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md']"
"Si yo tengo 28 años, gano 800 mil al mes y soy independiente, ¿puedo usar el portal para buscar una casa?",no,"['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Caso Hipotetico en Primera Persona,BD1-00582,Banco\CasaVerso\BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md,"['# DS19 Para comprar una vivienda si aún no tengo Subsidio Puedes acceder a este programa con los siguientes requisitos: AHORRO + PERTENECER HASTA EL 90% EN RSH (Registro Social de Hogares) + No tener una propiedad (postulante, cónyuge, conviviente civil o integrantes del grupo familiar declarado). Me permite adquirir una vivienda de: HASTA 2.200 UF ¿Cómo se paga mi vivienda? AHORRO + SUBSIDIO + BONOS + APORTE (CONTADO O HIPOTECARIO) ¿Me pueden cobrar por gastos operacionales y de escrituración? Si el proyecto es de mi interés ¿qué pasos debo seguir? POR SUBSIDIO DS19 Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto. Si ya estoy inscrito en el proyecto debo solicitar a la entidad: Comprobante de inscripción al proyecto En las regiones de Arica y Parinacota, Tarapacá, Antofagasta, Atacama, Aysén, Magallanes y Antártica Chilena, Provincia de Chiloé y las comunas de Palena, Isla de Pascua y Juan Fernández el valor máximo puede llegar hasta las 2.400 UF', '# Paso a paso para postular DS1 Tramo 2 Paso a paso para postular: Abra una cuenta de ahorro para la vivienda y deposite en ella su ahorro. La cuenta debe tener como mínimo 12 meses de antigüedad al momento de postular (la antigüedad se considera desde primer día hábil del mes siguiente en que abrió la cuenta). Infórmese y solicite orientación sobre los programas del ministerio y consulte por las fechas de postulación. Conozca el porcentaje de calificación socioeconómica de su Registro Social de Hogares (RSH). Para ello puede visitar la página web registro social, llamar al fono o dirigirse a su municipalidad. El trámite de postulación se puede hacer a través de Internet, para lo cual es necesario contar con la Clave Única que otorga el Servicio de Registro Civil e Identificación. Una segunda alternativa es postular personalmente en las Oficinas de Atención Presencial del Serviu o en las instituciones públicas que este organismo habilite para estos efectos. Si desea realizar su postulación de manera presencial, reserve un día y lugar en la página web Minvu o llamando a Minvu Aló.', '# Paso a paso para postular DS1 Tramo 1 Paso a paso para postular: Abra una cuenta de ahorro para la vivienda y deposite en ella su ahorro. La cuenta debe tener como mínimo 12 meses de antigüedad al momento de postular (la antigüedad se considera desde primer día hábil del mes siguiente en que abrió la cuenta). Infórmese y solicite orientación sobre los programas del ministerio y consulte por las fechas de postulación. Conozca el porcentaje de calificación socioeconómica de su Registro Social de Hogares (RSH). Para ello puede visitar la página web registro social, llamar al fono o dirigirse a su municipalidad. El trámite de postulación se puede hacer a través de Internet, para lo cual es necesario contar con la Clave Única que otorga el Servicio de Registro Civil e Identificación. Una segunda alternativa es postular personalmente en las Oficinas de Atención Presencial del Serviu o en las instituciones públicas que este organismo habilite para estos efectos. Si desea realizar su postulación de manera presencial, reserve un día y lugar en la página web minvu o llamando a Minvu Aló.']","['s3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00558 - DS19 Para comprar una vivienda si aún no tengo Subsidio.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00572 - Paso a paso para postular DS1 Tramo 2.md', 's3://sand-sch-rag-eval-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00571 - Paso a paso para postular DS1 Tramo 1.md']"
"oye, ¿qué onda con el portal nuevo del BancoEstado?",yes,"['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Coloquial Chileno Natural,BD1-00582,Banco\CasaVerso\BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md,"['# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto? Si, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.']","['s3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md', 's3://sand-sch-rag-eval-data/data/Banco/CasaVerso/BD1-00587 - Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web esto es correcto.md']"
