user_input,expected_output,retrieved_contexts
¿Cómo le pido a Vivi que me muestre casas o departamentos según mis preferencias?,"Para buscar casas o departamentos con Vivi, solo debes ser específico en tu solicitud. Por ejemplo, puedes decirme:

• ""Casa en Maipú con 2 dormitorios""
• ""Departamento en Santiago centro con estacionamiento""
• ""Propiedad en San Miguel cerca del Metro""

Mientras más detalles me proporciones, más precisos serán los resultados que te mostraré. 

¿Tienes alguna preferencia específica de ubicación o tipo de vivienda que te gustaría encontrar?","['# Cómo funciona la inteligencia artificial en CASAVERSO Hemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor. Por ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades! También puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.', 'Si el proyecto es de mi interés ¿qué pasos debo seguir? Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto. NOTAS:Estos 3 Pasos solo son válidos para familias de menores ingresos que están buscando un cupo de vivienda en Proyectos DS 19, que han sido seleccionados en Llamados a Concurso de Proyectos del MINVU y SERVIU, realizados antes del año 2022. Si, por el contrario, las familias de menores ingresos desean incorporarse en un Proyecto DS 19 seleccionado a partir del año']"
¿Cómo creo una cuenta en CASAVERSO?,"Para crear una cuenta en CASAVERSO, sigue estos pasos:

1. Dirígete al menú lateral y selecciona la opción ""Iniciar sesión"".
2. En la página de inicio de sesión, presiona el botón ""Registrarse en CASAVERSO"".

Si eres cliente de BancoEstado, tienes un acceso más rápido: puedes ingresar directamente con tu RUT y la clave de tu Banca en Línea.

¿Te gustaría que te explique más detalles sobre el proceso de registro?","['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']"
"Si yo me registro en el nuevo portal CASAVERSO, ¿quién lo creó y qué consideró BancoEstado al desarrollarlo?","BancoEstado creó el portal CASAVERSO considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario, e incorporando las últimas tecnologías emergentes a nivel mundial. 

Un ejemplo de esto es cómo el portal busca facilitar la búsqueda y selección de propiedades para los usuarios.

¿Te gustaría conocer más detalles sobre las funcionalidades de CASAVERSO?","['# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']"
kiero saber si el nuevo portal casaverso es seguro y protege mis datos?,"Sí, Casaverso es completamente seguro. Cumple con todas las exigencias de seguridad informática y protección de datos personales que rigen para las instituciones financieras. 

Nuestro portal está diseñado para resguardar tu información de manera integral y confidencial.

¿Te gustaría que te explique más sobre cómo protegemos tus datos en Casaverso?","['# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).']"
¿Cómo reviso la política de privacidad para saber si es seguro compartir mis datos en CASAVERSO?,"En nuestro sitio web de Casaverso, puedes encontrar las Políticas de Privacidad en el pie de página, que te proporcionarán toda la información detallada sobre el tratamiento de tus datos personales. 

Ejemplo: Busca al final de la página web el enlace ""Políticas de Privacidad"" y revisa los términos de uso y protección de datos.

¿Te gustaría que te explique brevemente qué aspectos suelen cubrir estas políticas de privacidad?","['# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']"
k hay casas pa arriendo ahora?,"Actualmente no tenemos propiedades disponibles para arriendo en nuestro portal Casaverso. Estamos trabajando para incorporar opciones de arriendo próximamente.

¿Te gustaría ver las propiedades que tenemos disponibles para compra mientras tanto? Puedo ayudarte a filtrar casas según tu presupuesto y ubicación preferida.","['# Hay propiedades para arriendo En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.', 'Si eres Jubilado o Pensionado, debes presentar la última liquidación de jubilación o pensión. Si eres Rentista, debes presentar contratos de arriendo notariados de las propiedades, con antigüedad mínima de 1 año, certificados de dominio vigente de las propiedades y los comprobantes de transferencia electrónica o cartola de cuenta bancaria, con el monto del arriendo últimos 6 meses. Si eres Socio de Empresa o persona natural con giro comercial, debes presentar de los últimos 2 años: Declaraciones de Impuestos Anual a la Renta Personal.']"
¿Hay propiedades usadas en Casaverso?,"En este momento, Casaverso solo cuenta con propiedades nuevas (proyectos), pero próximamente se ampliará para incluir propiedades usadas. 

¿Te gustaría conocer los proyectos nuevos disponibles actualmente en nuestra plataforma?","['# Hay propiedades usadas En este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']"
"Oye, para la preaprobación tengo que meter mis credenciales del sitio web de BancoEstado, ¿es eso correcto?","Sí, es correcto. Para avanzar en el proceso de preaprobación de tu crédito hipotecario, necesitas iniciar sesión con tus credenciales de BancoEstado en el sitio web.

Este paso nos permite verificar tu identidad y acceder a la información necesaria para evaluar tu solicitud.

¿Te gustaría que te explique los siguientes pasos para completar tu preaprobación?","['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto? Si, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.']"
beneficios portal casaverso,"Los beneficios de utilizar el Portal Casaverso son:

1. Preaprobación de crédito hipotecario en línea: Podrás conocer de forma inmediata si eres sujeto de crédito, generando certeza y seguridad en tu proceso de búsqueda de vivienda.

2. Asesoría personalizada: Cuenta con Vivi, una asistente de inteligencia artificial que te acompaña durante todo el proceso, resolviendo dudas y ayudándote a encontrar la vivienda ideal.

3. Búsqueda personalizada: El portal te propone alternativas de viviendas que se ajustan específicamente a tus necesidades y preferencias.

¿Te gustaría que te explique más sobre cómo funciona la preaprobación de crédito en Casaverso?","['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']"
"Si yo quiero saber qué es CASAVERSO y qué servicios incluye, ¿me puedes explicarlo?","CASAVERSO es el ecosistema digital de vivienda de BancoEstado que reúne todos los servicios relacionados con la compra, venta y financiamiento de propiedades en un solo lugar. 

Es una plataforma integral que conecta diferentes servicios como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites, facilitando todo el proceso de vivienda para los usuarios.

¿Te gustaría que te explique más sobre cómo funciona CASAVERSO o qué servicios específicos ofrece?","['# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']"
